Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,42
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,628
ALPA4;ALPARGATAS;PN      N1;201.952.502;0,093
ABEV3;AMBEV S/A;ON;4.386.652.506;3,058
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,244
ASAI3;ASSAI;ON      NM;1.190.824.431;0,796
AZUL4;AZUL;PN      N2;327.646.296;0,263
B3SA3;B3;ON      NM;5.733.398.051;3,975
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;1,047
BBDC3;BRADESCO;ON  EJ  N1;1.500.631.902;0,999
BBDC4;BRADESCO;PN  EJ  N1;5.146.612.491;3,825
BRAP4;BRADESPAR;PN      N1;251.008.334;0,279
BBAS3;BRASIL;ON      NM;1.420.731.069;3,219
BRKM5;BRASKEM;PNA     N1;265.212.486;0,301
BRFS3;BRF SA;ON      NM;1.676.512.610;0,785
BPAC11;BTGP BANCO;UNT EJ  N2;1.225.470.424;1,956
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,301
CCRO3;CCR SA;ON      NM;998.462.635;0,631
CMIG4;CEMIG;PN      N1;1.442.098.974;0,849
CIEL3;CIELO;ON  EJ  NM;1.095.401.258;0,216
COGN3;COGNA ON;ON      NM;1.815.524.541;0,287
CPLE6;COPEL;PNB     N2;1.563.365.506;0,658
CSAN3;COSAN;ON      NM;1.171.063.698;1,096
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,316
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,223
CVCB3;CVC BRASIL;ON      NM;442.634.342;0,057
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,33
DXCO3;DEXCO;ON      NM;274.863.424;0,12
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,634
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,557
EMBR3;EMBRAER;ON      NM;734.632.205;0,642
ENGI11;ENERGISA;UNT     N2;248.477.689;0,585
ENEV3;ENEVA;ON      NM;1.577.877.205;0,972
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,512
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,754
EZTC3;EZTEC;ON      NM;94.318.339;0,104
FLRY3;FLEURY;ON      NM;422.811.447;0,314
GGBR4;GERDAU;PN      N1;1.093.112.629;1,37
GOAU4;GERDAU MET;PN      N1;667.194.478;0,398
GOLL4;GOL;PN      N2;218.221.868;0,096
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,701
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,257
HAPV3;HAPVIDA;ON      NM;4.324.011.467;1,04
HYPE3;HYPERA;ON      NM;400.842.480;0,841
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,232
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,152
ITSA4;ITAUSA;PN      N1;5.014.245.900;2,312
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.630.041;6,401
JBSS3;JBS;ON      NM;1.134.986.483;1,06
KLBN11;KLABIN S/A;UNT ED  N2;701.899.756;0,767
RENT3;LOCALIZA;ON      NM;841.062.110;2,7
LWSA3;LOCAWEB;ON      NM;430.758.874;0,155
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,843
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,414
MRFG3;MARFRIG;ON      NM;292.587.273;0,111
CASH3;MELIUZ;ON      NM;69.155.277;0,028
BEEF3;MINERVA;ON      NM;260.340.982;0,136
MRVE3;MRV;ON      NM;383.509.465;0,256
MULT3;MULTIPLAN;ON      N2;266.933.994;0,35
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,155
PETR3;PETROBRAS;ON      N2;2.990.884.064;4,851
PETR4;PETROBRAS;PN      N2;4.566.511.125;6,743
PRIO3;PETRORIO;ON      NM;839.159.130;1,958
PETZ3;PETZ;ON      NM;335.865.260;0,098
RADL3;RAIADROGASIL;ON      NM;1.163.955.366;1,549
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,228
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,802
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,406
SBSP3;SABESP;ON      NM;340.002.999;0,879
SANB11;SANTANDER BR;UNT;355.642.848;0,468
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,238
CSNA3;SID NACIONAL;ON;589.695.175;0,36
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,223
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,737
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,368
VIVT3;TELEF BRASIL;ON  EJ;423.091.712;0,868
TIMS3;TIM;ON      NM;808.436.195;0,576
TOTS3;TOTVS;ON      NM;513.869.896;0,705
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;1,011
USIM5;USIMINAS;PNA     N1;515.014.562;0,175
VALE3;VALE;ON      NM;4.035.078.991;13,077
VIIA3;VIA;ON      NM;1.576.975.642;0,144
VBBR3;VIBRA;ON      NM;1.114.442.976;0,911
WEGE3;WEG;ON      NM;1.260.665.218;2,492
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,312
